"timestamp","plot","treatment","location","quad","cover","direction","side","date","hour","temp","siemens","sm.corr"
2022-02-13 10:00:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,10,8.11,0,0
2022-02-13 10:10:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,10,9.91,0,0
2022-02-13 10:20:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,10,11.8,0,0
2022-02-13 10:30:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,10,13.54,0,0
2022-02-13 10:40:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,10,15.16,0,0
2022-02-13 10:50:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,10,16.92,0,0
2022-02-13 11:00:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,11,18.46,0,0
2022-02-13 11:10:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,11,19.92,0,0
2022-02-13 11:20:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,11,21.25,0,0
2022-02-13 11:30:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,11,22.31,0,0
2022-02-13 11:40:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,11,23.28,0,0
2022-02-13 11:50:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,11,24.4,0,0
2022-02-13 12:00:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,12,25.4,0,0
2022-02-13 12:10:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,12,26.17,0,0
2022-02-13 12:20:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,12,26.33,0,0
2022-02-13 12:30:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,12,25.19,0,0
2022-02-13 12:40:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,12,26.22,0,0
2022-02-13 12:50:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,12,27.97,0,0
2022-02-13 13:00:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,13,28.64,0.129,0.00205626
2022-02-13 13:10:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,13,28.93,0.176,0.00280544
2022-02-13 13:20:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,13,28.9,0.162,0.00258228
2022-02-13 13:30:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,13,29.39,0.112,0.00178528
2022-02-13 13:40:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,13,29.67,0.085,0.0013549
2022-02-13 13:50:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,13,29.73,0.058,0.00092452
2022-02-13 14:00:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,14,29.83,0.058,0.00092452
2022-02-13 14:10:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,14,29.8,0.031,0.00049414
2022-02-13 14:20:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,14,29.3,0,0
2022-02-13 14:30:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,14,29.08,0,0
2022-02-13 14:40:00,"b1","lw","interspace","3","lc","east","NA",2022-02-13,14,29.06,0,0
